 Id, Vd
-1.50E-09,-0.51
-1.50E-09,-0.508
-1.50E-09,-0.506
-1.49E-09,-0.504
-1.49E-09,-0.502
-1.50E-09,-0.5
-1.50E-09,-0.498
-1.49E-09,-0.496
-1.49E-09,-0.494
-1.49E-09,-0.492
-1.49E-09,-0.49
-1.49E-09,-0.488
-1.49E-09,-0.486
-1.49E-09,-0.484
-1.48E-09,-0.482
-1.48E-09,-0.48
-1.48E-09,-0.478
-1.48E-09,-0.476
-1.48E-09,-0.474
-1.48E-09,-0.472
-1.48E-09,-0.47
-1.48E-09,-0.468
-1.48E-09,-0.466
-1.47E-09,-0.464
-1.47E-09,-0.462
-1.47E-09,-0.46
-1.47E-09,-0.458
-1.47E-09,-0.456
-1.47E-09,-0.454
-1.47E-09,-0.452
-1.47E-09,-0.45
-1.47E-09,-0.448
-1.46E-09,-0.446
-1.46E-09,-0.444
-1.46E-09,-0.442
-1.46E-09,-0.44
-1.46E-09,-0.438
-1.46E-09,-0.436
-1.46E-09,-0.434
-1.46E-09,-0.432
-1.45E-09,-0.43
-1.45E-09,-0.428
-1.45E-09,-0.426
-1.45E-09,-0.424
-1.45E-09,-0.422
-1.45E-09,-0.42
-1.45E-09,-0.418
-1.45E-09,-0.416
-1.44E-09,-0.414
-1.45E-09,-0.412
-1.44E-09,-0.41
-1.44E-09,-0.408
-1.44E-09,-0.406
-1.44E-09,-0.404
-1.44E-09,-0.402
-1.44E-09,-0.4
-1.44E-09,-0.398
-1.44E-09,-0.396
-1.43E-09,-0.394
-1.43E-09,-0.392
-1.43E-09,-0.39
-1.43E-09,-0.388
-1.43E-09,-0.386
-1.43E-09,-0.384
-1.43E-09,-0.382
-1.42E-09,-0.38
-1.42E-09,-0.378
-1.43E-09,-0.376
-1.42E-09,-0.374
-1.42E-09,-0.372
-1.42E-09,-0.37
-1.42E-09,-0.368
-1.42E-09,-0.366
-1.41E-09,-0.364
-1.42E-09,-0.362
-1.41E-09,-0.36
-1.41E-09,-0.358
-1.41E-09,-0.356
-1.41E-09,-0.354
-1.41E-09,-0.352
-1.40E-09,-0.35
-1.40E-09,-0.348
-1.40E-09,-0.346
-1.40E-09,-0.344
-1.40E-09,-0.342
-1.40E-09,-0.34
-1.40E-09,-0.338
-1.40E-09,-0.336
-1.39E-09,-0.334
-1.40E-09,-0.332
-1.39E-09,-0.33
-1.39E-09,-0.328
-1.39E-09,-0.326
-1.39E-09,-0.324
-1.39E-09,-0.322
-1.38E-09,-0.32
-1.38E-09,-0.318
-1.39E-09,-0.316
-1.38E-09,-0.314
-1.38E-09,-0.312
-1.38E-09,-0.31
-1.38E-09,-0.308
-1.38E-09,-0.306
-1.37E-09,-0.304
-1.37E-09,-0.302
-1.37E-09,-0.3
-1.37E-09,-0.298
-1.37E-09,-0.296
-1.37E-09,-0.294
-1.37E-09,-0.292
-1.36E-09,-0.29
-1.36E-09,-0.288
-1.36E-09,-0.286
