date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:31	397100/397100	---M--	200	added ('OK')	application/pdf	etag:%220b1cbd6ed78d01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee224/2014-15/EEE227_Exam_Paper_14-15.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee224/2014-15/EEE227_Exam_Paper_14-15.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee224/eee224.html)
19:32:33	12196/12196	---M--	200	added ('OK')	application/pdf	etag:%2207f441d637d11:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee224/2014-15/EEE224_227_Feedback_14-15.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee224/2014-15/EEE224_227_Feedback_14-15.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee224/eee224.html)
19:32:50	837992/837992	---M--	200	added ('OK')	application/pdf	etag:%2229ba1b277a2cf1:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee224/EEE224_2014_Solutions.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee224/EEE224_2014_Solutions.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee224/eee224.html)
19:33:42	405966/405966	---M--	200	added ('OK')	application/pdf	etag:%220cbcb7457e2d11:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee224/2015-16/EEE224-2015-16.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee224/2015-16/EEE224-2015-16.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee224/eee224.html)
19:33:55	406259/406259	---M--	200	added ('OK')	application/pdf	etag:%220cbcb7457e2d11:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee224/2015-16/EEE227-2015-16.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee224/2015-16/EEE227-2015-16.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee224/eee224.html)
19:33:59	17029/17029	---M--	200	added ('OK')	application/pdf	etag:%22c2d7eebdb89d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee224/2015-16/EEE224-Exam-Feedback.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee224/2015-16/EEE224-Exam-Feedback.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee224/eee224.html)
19:34:02	17011/17011	---M--	200	added ('OK')	application/pdf	etag:%22743521c2b89d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee224/2015-16/EEE227-Exam-Feedback.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee224/2015-16/EEE227-Exam-Feedback.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee224/eee224.html)
19:34:31	848033/848033	---M--	200	added ('OK')	application/pdf	etag:%220ca1c5b32bed01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee224/2014-15/EEE224_Solutions_14-15.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee224/2014-15/EEE224_Solutions_14-15.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee224/eee224.html)
19:34:41	848033/848033	---M--	200	added ('OK')	application/pdf	etag:%220ca1c5b32bed01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee224/2014-15/EEE227_Solutions_14-15.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee224/2014-15/EEE227_Solutions_14-15.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee224/eee224.html)
19:35:56	839648/839648	---M--	200	added ('OK')	application/pdf	etag:%220cbcb7457e2d11:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee224/2015-16/EEE224-Solutions-2015-16.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee224/2015-16/EEE224-Solutions-2015-16.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee224/eee224.html)
